genia tagger: 88['cyclin-dependent', [234, 250]]
['genetic mutation', [10367, 10383]]
['genetic mutation', [14604, 14620]]
['predictive value', [1984, 2000]]
['predictive value', [6232, 6248]]
['predictive value', [10469, 10485]]
['predictive value', [14706, 14722]]
['personal', [2004, 2012]]
['personal', [6252, 6260]]
['personal', [10489, 10497]]
['personal', [14726, 14734]]
['family history', [2017, 2031]]
['family history', [6265, 6279]]
['family history', [10502, 10516]]
['family history', [14739, 14753]]
['increased', [2106, 2115]]
['increased', [6354, 6363]]
['increased', [10591, 10600]]
['increased', [14828, 14837]]
['probability', [2116, 2127]]
['probability', [6364, 6375]]
['probability', [10601, 10612]]
['probability', [14838, 14849]]
['mutation', [221, 229]]
['mutation', [503, 511]]
['mutation', [610, 618]]
['mutation', [1890, 1898]]
['mutation', [2143, 2151]]
['mutation', [2209, 2217]]
['mutation', [2677, 2685]]
['mutation', [2726, 2734]]
['mutation', [3003, 3011]]
['mutation', [3983, 3991]]
['mutation', [4729, 4737]]
['mutation', [4751, 4759]]
['mutation', [5052, 5060]]
['mutation', [6138, 6146]]
['mutation', [6391, 6399]]
['mutation', [6457, 6465]]
['mutation', [6925, 6933]]
['mutation', [6974, 6982]]
['mutation', [7251, 7259]]
['mutation', [8231, 8239]]
['mutation', [8977, 8985]]
['mutation', [8999, 9007]]
['mutation', [9300, 9308]]
['mutation', [10375, 10383]]
['mutation', [10628, 10636]]
['mutation', [10694, 10702]]
['mutation', [11162, 11170]]
['mutation', [11211, 11219]]
['mutation', [11488, 11496]]
['mutation', [12468, 12476]]
['mutation', [13214, 13222]]
['mutation', [13236, 13244]]
['mutation', [13537, 13545]]
['mutation', [14612, 14620]]
['mutation', [14865, 14873]]
['mutation', [14931, 14939]]
['mutation', [15399, 15407]]
['mutation', [15448, 15456]]
['mutation', [15725, 15733]]
['mutation', [16705, 16713]]
['mutation', [17451, 17459]]
['mutation', [17473, 17481]]
['mutation', [17774, 17782]]
['mutation', [18236, 18244]]
['mutation', [18898, 18906]]
['cdkn2a gene', [2159, 2170]]
['cdkn2a gene', [4280, 4291]]
['cdkn2a gene', [4616, 4627]]
['cdkn2a gene', [6407, 6418]]
['cdkn2a gene', [8528, 8539]]
['cdkn2a gene', [8864, 8875]]
['cdkn2a gene', [10644, 10655]]
['cdkn2a gene', [12765, 12776]]
['cdkn2a gene', [13101, 13112]]
['cdkn2a gene', [14881, 14892]]
['cdkn2a gene', [17002, 17013]]
['cdkn2a gene', [17338, 17349]]
['likelihood', [2176, 2186]]
['likelihood', [2550, 2560]]
['likelihood', [3969, 3979]]
['likelihood', [6424, 6434]]
['likelihood', [6798, 6808]]
['likelihood', [8217, 8227]]
['likelihood', [10661, 10671]]
['likelihood', [11035, 11045]]
['likelihood', [12454, 12464]]
['likelihood', [14898, 14908]]
['likelihood', [15272, 15282]]
['likelihood', [16691, 16701]]
['population', [2241, 2251]]
['population', [3284, 3294]]
['population', [6489, 6499]]
['population', [7532, 7542]]
['population', [10726, 10736]]
['population', [11769, 11779]]
['population', [14963, 14973]]
['population', [16006, 16016]]
['result', [2282, 2288]]
['result', [4800, 4806]]
['result', [6530, 6536]]
['result', [9048, 9054]]
['result', [10767, 10773]]
['result', [13285, 13291]]
['result', [15004, 15010]]
['result', [17522, 17528]]
['difference', [2292, 2302]]
['difference', [6540, 6550]]
['difference', [10777, 10787]]
['difference', [15014, 15024]]
['penetrance', [2307, 2317]]
['penetrance', [2705, 2715]]
['penetrance', [2982, 2992]]
['penetrance', [6555, 6565]]
['penetrance', [6953, 6963]]
['penetrance', [7230, 7240]]
['penetrance', [10792, 10802]]
['penetrance', [11190, 11200]]
['penetrance', [11467, 11477]]
['penetrance', [15029, 15039]]
['penetrance', [15427, 15437]]
['penetrance', [15704, 15714]]
['variation', [2334, 2343]]
['variation', [6582, 6591]]
['variation', [10819, 10828]]
['variation', [15056, 15065]]
['predisposing', [2356, 2368]]
['predisposing', [2872, 2884]]
['predisposing', [6604, 6616]]
['predisposing', [7120, 7132]]
['predisposing', [10841, 10853]]
['predisposing', [11357, 11369]]
['predisposing', [15078, 15090]]
['predisposing', [15594, 15606]]
['phenotype', [2369, 2378]]
['phenotype', [6617, 6626]]
['phenotype', [10854, 10863]]
['phenotype', [15091, 15100]]
['eg', [715, 717]]
['eg', [1023, 1025]]
['eg', [2380, 2382]]
['eg', [3262, 3264]]
['eg', [3527, 3529]]
['eg', [3557, 3559]]
['eg', [4224, 4226]]
['eg', [4587, 4589]]
['eg', [4761, 4763]]
['eg', [5248, 5250]]
['eg', [6628, 6630]]
['eg', [7510, 7512]]
['eg', [7775, 7777]]
['eg', [7805, 7807]]
['eg', [8472, 8474]]
['eg', [8835, 8837]]
['eg', [9009, 9011]]
['eg', [9496, 9498]]
['eg', [10865, 10867]]
['eg', [11747, 11749]]
['eg', [12012, 12014]]
['eg', [12042, 12044]]
['eg', [12709, 12711]]
['eg', [13072, 13074]]
['eg', [13246, 13248]]
['eg', [13733, 13735]]
['eg', [15102, 15104]]
['eg', [15984, 15986]]
['eg', [16249, 16251]]
['eg', [16279, 16281]]
['eg', [16946, 16948]]
['eg', [17309, 17311]]
['eg', [17483, 17485]]
['eg', [17970, 17972]]
['eg', [18423, 18425]]
['eg', [18453, 18455]]
['eg', [19085, 19087]]
['eg', [19115, 19117]]
['fair skin', [2384, 2393]]
['fair skin', [6632, 6641]]
['fair skin', [10869, 10878]]
['fair skin', [15106, 15115]]
['intensity', [2426, 2435]]
['intensity', [6674, 6683]]
['intensity', [10911, 10920]]
['intensity', [15148, 15157]]
['ultraviolet radiation exposure', [2439, 2469]]
['ultraviolet radiation exposure', [6687, 6717]]
['ultraviolet radiation exposure', [10924, 10954]]
['ultraviolet radiation exposure', [15161, 15191]]
['geographic area', [2474, 2489]]
['geographic area', [6722, 6737]]
['geographic area', [10959, 10974]]
['geographic area', [15196, 15211]]
['background', [2503, 2513]]
['background', [2778, 2788]]
['background', [2945, 2955]]
['background', [6751, 6761]]
['background', [7026, 7036]]
['background', [7193, 7203]]
['background', [10988, 10998]]
['background', [11263, 11273]]
['background', [11430, 11440]]
['background', [15225, 15235]]
['background', [15500, 15510]]
['background', [15667, 15677]]
['greater', [2542, 2549]]
['greater', [6790, 6797]]
['greater', [11027, 11034]]
['greater', [15264, 15271]]
['multiple', [2571, 2579]]
['multiple', [2612, 2620]]
['multiple', [6819, 6827]]
['multiple', [6860, 6868]]
['multiple', [11056, 11064]]
['multiple', [11097, 11105]]
['multiple', [15293, 15301]]
['multiple', [15334, 15342]]
['family members', [2580, 2594]]
['family members', [6828, 6842]]
['family members', [11065, 11079]]
['family members', [15302, 15316]]
['melanomas', [859, 868]]
['melanomas', [2629, 2638]]
['melanomas', [3389, 3398]]
['melanomas', [6877, 6886]]
['melanomas', [7637, 7646]]
['melanomas', [11114, 11123]]
['melanomas', [11874, 11883]]
['melanomas', [15351, 15360]]
['melanomas', [16111, 16120]]
['melanomas', [18294, 18303]]
['melanomas', [18956, 18965]]
['reasons', [2649, 2656]]
['reasons', [6897, 6904]]
['reasons', [11134, 11141]]
['reasons', [15371, 15378]]
['mutation carrier', [2726, 2742]]
['mutation carrier', [6974, 6990]]
['mutation carrier', [11211, 11227]]
['mutation carrier', [15448, 15464]]
['areas', [2485, 2490]]
['areas', [2762, 2767]]
['areas', [2915, 2920]]
['areas', [3347, 3352]]
['areas', [3734, 3739]]
['areas', [6733, 6738]]
['areas', [7010, 7015]]
['areas', [7163, 7168]]
['areas', [7595, 7600]]
['areas', [7982, 7987]]
['areas', [10970, 10975]]
['areas', [11247, 11252]]
['areas', [11400, 11405]]
['areas', [11832, 11837]]
['areas', [12219, 12224]]
['areas', [15207, 15212]]
['areas', [15484, 15489]]
['areas', [15637, 15642]]
['areas', [16069, 16074]]
['areas', [16456, 16461]]
['potential', [2821, 2830]]
['potential', [4254, 4263]]
['potential', [4374, 4383]]
['potential', [7069, 7078]]
['potential', [8502, 8511]]
['potential', [8622, 8631]]
['potential', [11306, 11315]]
['potential', [12739, 12748]]
['potential', [12859, 12868]]
['potential', [15543, 15552]]
['potential', [16976, 16985]]
['potential', [17096, 17105]]
['interaction', [2831, 2842]]
['interaction', [7079, 7090]]
['interaction', [11316, 11327]]
['interaction', [15553, 15564]]
['predisposing factors', [2872, 2892]]
['predisposing factors', [7120, 7140]]
['predisposing factors', [11357, 11377]]
['predisposing factors', [15594, 15614]]
['countries', [3021, 3030]]
['countries', [7269, 7278]]
['countries', [11506, 11515]]
['countries', [15743, 15752]]
['single', [3056, 3062]]
['single', [7304, 7310]]
['single', [11541, 11547]]
['single', [15778, 15784]]
['guideline', [3063, 3072]]
['guideline', [7311, 7320]]
['guideline', [11548, 11557]]
['guideline', [15785, 15794]]
['guideline', [18557, 18566]]
['guideline', [19219, 19228]]
['genetic evaluation', [3237, 3255]]
['genetic evaluation', [7485, 7503]]
['genetic evaluation', [11722, 11740]]
['genetic evaluation', [15959, 15977]]
['specific', [174, 182]]
['specific', [3275, 3283]]
['specific', [3942, 3950]]
['specific', [7523, 7531]]
['specific', [8190, 8198]]
['specific', [11760, 11768]]
['specific', [12427, 12435]]
['specific', [15997, 16005]]
['specific', [16664, 16672]]
['populations', [3284, 3295]]
['populations', [7532, 7543]]
['populations', [11769, 11780]]
['populations', [16006, 16017]]
['incident', [3338, 3346]]
['incident', [7586, 7594]]
['incident', [11823, 11831]]
['incident', [16060, 16068]]
['evaluation', [3245, 3255]]
['evaluation', [3646, 3656]]
['evaluation', [4176, 4186]]
['evaluation', [7493, 7503]]
['evaluation', [7894, 7904]]
['evaluation', [8424, 8434]]
['evaluation', [11730, 11740]]
['evaluation', [12131, 12141]]
['evaluation', [12661, 12671]]
['evaluation', [15967, 15977]]
['evaluation', [16368, 16378]]
['evaluation', [16898, 16908]]
['evaluation', [18532, 18542]]
['evaluation', [19194, 19204]]
['table', [3659, 3664]]
['table', [3850, 3855]]
['table', [4503, 4508]]
['table', [7907, 7912]]
['table', [8098, 8103]]
['table', [8751, 8756]]
['table', [12144, 12149]]
['table', [12335, 12340]]
['table', [12988, 12993]]
['table', [16381, 16386]]
['table', [16572, 16577]]
['table', [17225, 17230]]
['vi', [458, 460]]
['vi', [807, 809]]
['vi', [819, 821]]
['vi', [1101, 1103]]
['vi', [1131, 1133]]
['vi', [1363, 1365]]
['vi', [1830, 1832]]
['vi', [2086, 2088]]
['vi', [2444, 2446]]
['vi', [2566, 2568]]
['vi', [3157, 3159]]
['vi', [3358, 3360]]
['vi', [3665, 3667]]
['vi', [3856, 3858]]
['vi', [4009, 4011]]
['vi', [4509, 4511]]
['vi', [4712, 4714]]
['vi', [4790, 4792]]
['vi', [4858, 4860]]
['vi', [4931, 4933]]
['vi', [5611, 5613]]
['vi', [6078, 6080]]
['vi', [6334, 6336]]
['vi', [6692, 6694]]
['vi', [6814, 6816]]
['vi', [7405, 7407]]
['vi', [7606, 7608]]
['vi', [7913, 7915]]
['vi', [8104, 8106]]
['vi', [8257, 8259]]
['vi', [8757, 8759]]
['vi', [8960, 8962]]
['vi', [9038, 9040]]
['vi', [9106, 9108]]
['vi', [9179, 9181]]
['vi', [9848, 9850]]
['vi', [10315, 10317]]
['vi', [10571, 10573]]
['vi', [10929, 10931]]
['vi', [11051, 11053]]
['vi', [11642, 11644]]
['vi', [11843, 11845]]
['vi', [12150, 12152]]
['vi', [12341, 12343]]
['vi', [12494, 12496]]
['vi', [12994, 12996]]
['vi', [13197, 13199]]
['vi', [13275, 13277]]
['vi', [13343, 13345]]
['vi', [13416, 13418]]
['vi', [14085, 14087]]
['vi', [14552, 14554]]
['vi', [14808, 14810]]
['vi', [15166, 15168]]
['vi', [15288, 15290]]
['vi', [15879, 15881]]
['vi', [16080, 16082]]
['vi', [16387, 16389]]
['vi', [16578, 16580]]
['vi', [16731, 16733]]
['vi', [17231, 17233]]
['vi', [17434, 17436]]
['vi', [17512, 17514]]
['vi', [17580, 17582]]
['vi', [17653, 17655]]
['vi', [18251, 18253]]
['vi', [18263, 18265]]
['vi', [18605, 18607]]
['vi', [18678, 18680]]
['vi', [18913, 18915]]
['vi', [18925, 18927]]
['vi', [19267, 19269]]
['vi', [19340, 19342]]
['www', [3690, 3693]]
['www', [3881, 3884]]
['www', [4535, 4538]]
['www', [7938, 7941]]
['www', [8129, 8132]]
['www', [8783, 8786]]
['www', [12175, 12178]]
['www', [12366, 12369]]
['www', [13020, 13023]]
['www', [16412, 16415]]
['www', [16603, 16606]]
['www', [17257, 17260]]
['org', [3700, 3703]]
['org', [3891, 3894]]
['org', [4545, 4548]]
['org', [7948, 7951]]
['org', [8139, 8142]]
['org', [8793, 8796]]
['org', [12185, 12188]]
['org', [12376, 12379]]
['org', [13030, 13033]]
['org', [16422, 16425]]
['org', [16613, 16616]]
['org', [17267, 17270]]
['low', [3711, 3714]]
['low', [4877, 4880]]
['low', [7959, 7962]]
['low', [9125, 9128]]
['low', [12196, 12199]]
['low', [13362, 13365]]
['low', [16433, 16436]]
['low', [17599, 17602]]
['low', [18719, 18722]]
['low', [19381, 19384]]
['events', [3779, 3785]]
['events', [8027, 8033]]
['events', [12264, 12270]]
['events', [16501, 16507]]
['insufficient', [3908, 3920]]
['insufficient', [8156, 8168]]
['insufficient', [12393, 12405]]
['insufficient', [16630, 16642]]
['data', [3921, 3925]]
['data', [4581, 4585]]
['data', [4884, 4888]]
['data', [4966, 4970]]
['data', [8169, 8173]]
['data', [8829, 8833]]
['data', [9132, 9136]]
['data', [9214, 9218]]
['data', [12406, 12410]]
['data', [13066, 13070]]
['data', [13369, 13373]]
['data', [13451, 13455]]
['data', [16643, 16647]]
['data', [17303, 17307]]
['data', [17606, 17610]]
['data', [17688, 17692]]
['time', [3934, 3938]]
['time', [8182, 8186]]
['time', [12419, 12423]]
['time', [16656, 16660]]
['mutation detection', [3983, 4001]]
['mutation detection', [8231, 8249]]
['mutation detection', [12468, 12486]]
['mutation detection', [16705, 16723]]
['synchronous', [4033, 4044]]
['synchronous', [8281, 8292]]
['synchronous', [12518, 12529]]
['synchronous', [16755, 16766]]
['group', [4131, 4136]]
['group', [8379, 8384]]
['group', [12616, 12621]]
['group', [16853, 16858]]
['important', [4198, 4207]]
['important', [5164, 5173]]
['important', [8446, 8455]]
['important', [9412, 9421]]
['important', [12683, 12692]]
['important', [13649, 13658]]
['important', [16920, 16929]]
['important', [17886, 17895]]
['considerations', [4208, 4222]]
['considerations', [8456, 8470]]
['considerations', [12693, 12707]]
['considerations', [16930, 16944]]
['clinical', [1265, 1273]]
['clinical', [1621, 1629]]
['clinical', [4237, 4245]]
['clinical', [5513, 5521]]
['clinical', [5869, 5877]]
['clinical', [8485, 8493]]
['clinical', [9750, 9758]]
['clinical', [10106, 10114]]
['clinical', [12722, 12730]]
['clinical', [13987, 13995]]
['clinical', [14343, 14351]]
['clinical', [16959, 16967]]
['use', [698, 701]]
['use', [1338, 1341]]
['use', [2641, 2644]]
['use', [3194, 3197]]
['use', [4246, 4249]]
['use', [5586, 5589]]
['use', [6889, 6892]]
['use', [7442, 7445]]
['use', [8494, 8497]]
['use', [9823, 9826]]
['use', [11126, 11129]]
['use', [11679, 11682]]
['use', [12731, 12734]]
['use', [14060, 14063]]
['use', [15363, 15366]]
['use', [15916, 15919]]
['use', [16968, 16971]]
['use', [18544, 18547]]
['use', [19206, 19209]]
['benefits', [4384, 4392]]
['benefits', [8632, 8640]]
['benefits', [12869, 12877]]
['benefits', [17106, 17114]]
['limitations', [4397, 4408]]
['limitations', [8645, 8656]]
['limitations', [12882, 12893]]
['limitations', [17119, 17130]]
['genetic counselor', [4425, 4442]]
['genetic counselor', [8673, 8690]]
['genetic counselor', [12910, 12927]]
['genetic counselor', [17147, 17164]]
['expertise', [4470, 4479]]
['expertise', [8718, 8727]]
['expertise', [12955, 12964]]
['expertise', [17192, 17201]]
['vii', [4509, 4512]]
['vii', [8757, 8760]]
['vii', [12994, 12997]]
['vii', [17231, 17234]]
['date', [1164, 1168]]
['date', [1247, 1251]]
['date', [3227, 3231]]
['date', [3625, 3629]]
['date', [4558, 4562]]
['date', [5495, 5499]]
['date', [7475, 7479]]
['date', [7873, 7877]]
['date', [8806, 8810]]
['date', [9732, 9736]]
['date', [11712, 11716]]
['date', [12110, 12114]]
['date', [13043, 13047]]
['date', [13969, 13973]]
['date', [15949, 15953]]
['date', [16347, 16351]]
['date', [17280, 17284]]
['limited', [4573, 4580]]
['limited', [8821, 8828]]
['limited', [13058, 13065]]
['limited', [17295, 17302]]
['al', [65, 67]]
['al', [182, 184]]
['al', [315, 317]]
['al', [370, 372]]
['al', [392, 394]]
['al', [514, 516]]
['al', [763, 765]]
['al', [823, 825]]
['al', [1135, 1137]]
['al', [1180, 1182]]
['al', [1271, 1273]]
['al', [1367, 1369]]
['al', [1395, 1397]]
['al', [1575, 1577]]
['al', [1627, 1629]]
['al', [1834, 1836]]
['al', [1954, 1956]]
['al', [1996, 1998]]
['al', [2010, 2012]]
['al', [2090, 2092]]
['al', [2416, 2418]]
['al', [2747, 2749]]
['al', [2828, 2830]]
['al', [3247, 3249]]
['al', [3362, 3364]]
['al', [3648, 3650]]
['al', [3845, 3847]]
['al', [3950, 3952]]
['al', [4013, 4015]]
['al', [4160, 4162]]
['al', [4178, 4180]]
['al', [4243, 4245]]
['al', [4261, 4263]]
['al', [4381, 4383]]
['al', [4462, 4464]]
['al', [4646, 4648]]
['al', [4653, 4655]]
['al', [4935, 4937]]
['al', [5519, 5521]]
['al', [5615, 5617]]
['al', [5643, 5645]]
['al', [5823, 5825]]
['al', [5875, 5877]]
['al', [6082, 6084]]
['al', [6202, 6204]]
['al', [6244, 6246]]
['al', [6258, 6260]]
['al', [6338, 6340]]
['al', [6664, 6666]]
['al', [6995, 6997]]
['al', [7076, 7078]]
['al', [7495, 7497]]
['al', [7610, 7612]]
['al', [7896, 7898]]
['al', [8093, 8095]]
['al', [8198, 8200]]
['al', [8261, 8263]]
['al', [8408, 8410]]
['al', [8426, 8428]]
['al', [8491, 8493]]
['al', [8509, 8511]]
['al', [8629, 8631]]
['al', [8710, 8712]]
['al', [8894, 8896]]
['al', [8901, 8903]]
['al', [9183, 9185]]
['al', [9756, 9758]]
['al', [9852, 9854]]
['al', [9880, 9882]]
['al', [10060, 10062]]
['al', [10112, 10114]]
['al', [10319, 10321]]
['al', [10439, 10441]]
['al', [10481, 10483]]
['al', [10495, 10497]]
['al', [10575, 10577]]
['al', [10901, 10903]]
['al', [11232, 11234]]
['al', [11313, 11315]]
['al', [11732, 11734]]
['al', [11847, 11849]]
['al', [12133, 12135]]
['al', [12330, 12332]]
['al', [12435, 12437]]
['al', [12498, 12500]]
['al', [12645, 12647]]
['al', [12663, 12665]]
['al', [12728, 12730]]
['al', [12746, 12748]]
['al', [12866, 12868]]
['al', [12947, 12949]]
['al', [13131, 13133]]
['al', [13138, 13140]]
['al', [13420, 13422]]
['al', [13993, 13995]]
['al', [14089, 14091]]
['al', [14117, 14119]]
['al', [14297, 14299]]
['al', [14349, 14351]]
['al', [14556, 14558]]
['al', [14676, 14678]]
['al', [14718, 14720]]
['al', [14732, 14734]]
['al', [14812, 14814]]
['al', [15138, 15140]]
['al', [15469, 15471]]
['al', [15550, 15552]]
['al', [15969, 15971]]
['al', [16084, 16086]]
['al', [16370, 16372]]
['al', [16567, 16569]]
['al', [16672, 16674]]
['al', [16735, 16737]]
['al', [16882, 16884]]
['al', [16900, 16902]]
['al', [16965, 16967]]
['al', [16983, 16985]]
['al', [17103, 17105]]
['al', [17184, 17186]]
['al', [17368, 17370]]
['al', [17375, 17377]]
['al', [17657, 17659]]
['al', [18267, 18269]]
['al', [18514, 18516]]
['al', [18534, 18536]]
['al', [18609, 18611]]
['al', [18717, 18719]]
['al', [18794, 18796]]
['al', [18929, 18931]]
['al', [19176, 19178]]
['al', [19196, 19198]]
['al', [19271, 19273]]
['al', [19379, 19381]]
['al', [19456, 19458]]
['increase', [2106, 2114]]
['increase', [4668, 4676]]
['increase', [6354, 6362]]
['increase', [8916, 8924]]
['increase', [10591, 10599]]
['increase', [13153, 13161]]
['increase', [14828, 14836]]
['increase', [17390, 17398]]
['increase', [18574, 18582]]
['increase', [19236, 19244]]
['screening', [4680, 4689]]
['screening', [4844, 4853]]
['screening', [5128, 5137]]
['screening', [5453, 5462]]
['screening', [8928, 8937]]
['screening', [9092, 9101]]
['screening', [9376, 9385]]
['screening', [9701, 9710]]
['screening', [13165, 13174]]
['screening', [13329, 13338]]
['screening', [13613, 13622]]
['screening', [13938, 13947]]
['screening', [17402, 17411]]
['screening', [17566, 17575]]
['screening', [17850, 17859]]
['screening', [18175, 18184]]
['screening', [18851, 18860]]
['screening', [19513, 19522]]
['behaviors', [4708, 4717]]
['behaviors', [8956, 8965]]
['behaviors', [13193, 13202]]
['behaviors', [17430, 17439]]
['negative', [4760, 4768]]
['negative', [9008, 9016]]
['negative', [13245, 13253]]
['negative', [17482, 17490]]
['test results', [4795, 4807]]
['test results', [9043, 9055]]
['test results', [13280, 13292]]
['test results', [17517, 17529]]
['55', [4809, 4811]]
['55', [9057, 9059]]
['55', [13294, 13296]]
['55', [17531, 17533]]
['behavior', [4708, 4716]]
['behavior', [4854, 4862]]
['behavior', [4927, 4935]]
['behavior', [8956, 8964]]
['behavior', [9102, 9110]]
['behavior', [9175, 9183]]
['behavior', [13193, 13201]]
['behavior', [13339, 13347]]
['behavior', [13412, 13420]]
['behavior', [17430, 17438]]
['behavior', [17576, 17584]]
['behavior', [17649, 17657]]
['long-term follow-up', [4864, 4883]]
['long-term follow-up', [9112, 9131]]
['long-term follow-up', [13349, 13368]]
['long-term follow-up', [17586, 17605]]
['behavioral changes', [4927, 4945]]
['behavioral changes', [9175, 9193]]
['behavioral changes', [13412, 13430]]
['behavioral changes', [17649, 17667]]
['hereditary cancer syndromes', [4993, 5020]]
['hereditary cancer syndromes', [9241, 9268]]
['hereditary cancer syndromes', [13478, 13505]]
['hereditary cancer syndromes', [17715, 17742]]
['noncarrier', [5035, 5045]]
['noncarrier', [9283, 9293]]
['noncarrier', [13520, 13530]]
['noncarrier', [17757, 17767]]
['education', [5236, 5245]]
['education', [5467, 5476]]
['education', [9484, 9493]]
['education', [9715, 9724]]
['education', [13721, 13730]]
['education', [13952, 13961]]
['education', [17958, 17967]]
['education', [18189, 18198]]
['education', [18837, 18846]]
['education', [19499, 19508]]
['not', [1503, 1506]]
['not', [2372, 2375]]
['not', [4124, 4127]]
['not', [5272, 5275]]
['not', [5751, 5754]]
['not', [6620, 6623]]
['not', [8372, 8375]]
['not', [9520, 9523]]
['not', [9988, 9991]]
['not', [10857, 10860]]
['not', [12609, 12612]]
['not', [13757, 13760]]
['not', [14225, 14228]]
['not', [15094, 15097]]
['not', [16846, 16849]]
['not', [17994, 17997]]
['care', [5307, 5311]]
['care', [9555, 9559]]
['care', [13792, 13796]]
['care', [18029, 18033]]
['hereditary melanoma', [5330, 5349]]
['hereditary melanoma', [9578, 9597]]
['hereditary melanoma', [13815, 13834]]
['hereditary melanoma', [18052, 18071]]
['likely', [5081, 5087]]
['likely', [5360, 5366]]
['likely', [9329, 9335]]
['likely', [9608, 9614]]
['likely', [13566, 13572]]
['likely', [13845, 13851]]
['likely', [17803, 17809]]
['likely', [18082, 18088]]
['benefit', [346, 353]]
['benefit', [4384, 4391]]
['benefit', [5367, 5374]]
['benefit', [8632, 8639]]
['benefit', [9615, 9622]]
['benefit', [12869, 12876]]
['benefit', [13852, 13859]]
['benefit', [17106, 17113]]
['benefit', [18089, 18096]]
['benefit', [18815, 18822]]
['benefit', [19477, 19484]]
['high risk', [18627, 18636]]
['high risk', [18697, 18706]]
['high risk', [19289, 19298]]
['high risk', [19359, 19368]]
['summary', [18201, 18208]]
['summary', [18863, 18870]]
['guidelines', [18557, 18567]]
['guidelines', [19219, 19229]]
['pros', [18738, 18742]]
['pros', [19400, 19404]]
['tailored', [18828, 18836]]
['tailored', [19490, 19498]]


total: 1697['cyclin-dependent', [234, 250]]
['kinase', [251, 257]]
['cdkn2a', [273, 279]]
['cdkn2a', [439, 445]]
['cdkn2a', [496, 502]]
['cdkn2a', [603, 609]]
['cdkn2a', [794, 800]]
['cdkn2a', [1466, 1472]]
['cdkn2a', [1630, 1636]]
['cdkn2a', [2159, 2165]]
['cdkn2a', [2202, 2208]]
['cdkn2a', [2670, 2676]]
['cdkn2a', [2719, 2725]]
['cdkn2a', [2851, 2857]]
['cdkn2a', [2996, 3002]]
['cdkn2a', [4280, 4286]]
['cdkn2a', [4616, 4622]]
['cdkn2a', [5714, 5720]]
['cdkn2a', [5878, 5884]]
['cdkn2a', [6407, 6413]]
['cdkn2a', [6450, 6456]]
['cdkn2a', [6918, 6924]]
['cdkn2a', [6967, 6973]]
['cdkn2a', [7099, 7105]]
['cdkn2a', [7244, 7250]]
['cdkn2a', [8528, 8534]]
['cdkn2a', [8864, 8870]]
['cdkn2a', [9951, 9957]]
['cdkn2a', [10115, 10121]]
['cdkn2a', [10644, 10650]]
['cdkn2a', [10687, 10693]]
['cdkn2a', [11155, 11161]]
['cdkn2a', [11204, 11210]]
['cdkn2a', [11336, 11342]]
['cdkn2a', [11481, 11487]]
['cdkn2a', [12765, 12771]]
['cdkn2a', [13101, 13107]]
['cdkn2a', [14188, 14194]]
['cdkn2a', [14352, 14358]]
['cdkn2a', [14881, 14887]]
['cdkn2a', [14924, 14930]]
['cdkn2a', [15392, 15398]]
['cdkn2a', [15441, 15447]]
['cdkn2a', [15573, 15579]]
['cdkn2a', [15718, 15724]]
['cdkn2a', [17002, 17008]]
['cdkn2a', [17338, 17344]]
['cdkn2a', [18229, 18235]]
['cdkn2a', [18891, 18897]]
['having', [2564, 2570]]
['having', [6812, 6818]]
['having', [11049, 11055]]
['having', [15286, 15292]]
['multiple', [2571, 2579]]
['multiple', [2612, 2620]]
['multiple', [6819, 6827]]
['multiple', [6860, 6868]]
['multiple', [11056, 11064]]
['multiple', [11097, 11105]]
['multiple', [15293, 15301]]
['multiple', [15334, 15342]]
['family', [1063, 1069]]
['family', [2017, 2023]]
['family', [2580, 2586]]
['family', [3597, 3603]]
['family', [3791, 3797]]
['family', [5070, 5076]]
['family', [6265, 6271]]
['family', [6828, 6834]]
['family', [7845, 7851]]
['family', [8039, 8045]]
['family', [9318, 9324]]
['family', [10502, 10508]]
['family', [11065, 11071]]
['family', [12082, 12088]]
['family', [12276, 12282]]
['family', [13555, 13561]]
['family', [14739, 14745]]
['family', [15302, 15308]]
['family', [16319, 16325]]
['family', [16513, 16519]]
['family', [17792, 17798]]
['family', [18493, 18499]]
['family', [19155, 19161]]
['members', [2587, 2594]]
['members', [6835, 6842]]
['members', [11072, 11079]]
['members', [15309, 15316]]
['selection criteria', [0, 18]]
['genetic assessment', [23, 41]]
['genetic assessment', [1283, 1301]]
['genetic assessment', [5531, 5549]]
['genetic assessment', [9768, 9786]]
['genetic assessment', [14005, 14023]]
['patients', [45, 53]]
['patients', [333, 341]]
['patients', [1252, 1260]]
['patients', [4339, 4347]]
['patients', [4769, 4777]]
['patients', [5500, 5508]]
['patients', [8587, 8595]]
['patients', [9017, 9025]]
['patients', [9737, 9745]]
['patients', [12824, 12832]]
['patients', [13254, 13262]]
['patients', [13974, 13982]]
['patients', [17061, 17069]]
['patients', [17491, 17499]]
['patients', [18685, 18693]]
['patients', [19347, 19355]]
['familial melanoma', [59, 76]]
['approximately', [77, 90]]
['10\\%', [97, 101]]
['melanoma', [68, 76]]
['melanoma', [104, 112]]
['melanoma', [158, 166]]
['melanoma', [557, 565]]
['melanoma', [730, 738]]
['melanoma', [859, 867]]
['melanoma', [912, 920]]
['melanoma', [965, 973]]
['melanoma', [1274, 1282]]
['melanoma', [1491, 1499]]
